Block	MerSort	QuickSort	Swaps
203	0.002770	0.002085	17924117
204	0.002726	0.002175	18129185
205	0.002797	0.002085	18317713
206	0.002799	0.002213	18494492
207	0.002842	0.002158	18676911
208	0.002857	0.002164	18859949
209	0.002878	0.002231	19059756
210	0.002890	0.002161	19234827
211	0.002917	0.002180	19419655
212	0.002931	0.002195	19599164
213	0.002948	0.002265	19812163
214	0.002967	0.002221	19989248
215	0.002974	0.002276	20191087
216	0.003004	0.002283	20399471
217	0.003008	0.002316	20612254
218	0.003032	0.002282	20818037
219	0.003043	0.002296	21011495
220	0.003056	0.002280	21200925
221	0.003080	0.002315	21402834
222	0.003018	0.002285	21592797
223	0.003028	0.002305	21791962
224	0.003072	0.002411	22005578
225	0.003168	0.002352	22209573
226	0.003102	0.002381	22436165
227	0.003084	0.002394	22650018
228	0.003104	0.002373	22851754
229	0.003160	0.002361	23063275
230	0.003160	0.002396	23258889
231	0.003201	0.002376	23459491
232	0.003184	0.002427	23686084
233	0.003223	0.002443	23914380
234	0.003214	0.002441	24148442
235	0.003197	0.002443	24360633
236	0.003287	0.002503	24590406
237	0.003302	0.002650	24830026
238	0.003322	0.002616	25039671
239	0.003325	0.002514	25242230
240	0.003340	0.002520	25455189
241	0.003356	0.002570	25685836
242	0.003366	0.002566	25911488
243	0.003378	0.002589	26130948
244	0.003386	0.002630	26364918
245	0.003400	0.002609	26590767
246	0.003442	0.002636	26821900
247	0.003431	0.002630	27054732
248	0.003454	0.002646	27286481
249	0.003484	0.002700	27521057
250	0.003439	0.002674	27773314
251	0.003452	0.002596	27994863
252	0.003533	0.002702	28232333
253	0.003542	0.002722	28463812
254	0.003591	0.002716	28714784
255	0.003558	0.002723	28948340
256	0.003554	0.002764	29171501
257	0.003602	0.002722	29412350
258	0.003594	0.002799	29653371
259	0.003627	0.002765	29887062
260	0.003616	0.002754	30123589
261	0.003641	0.002757	30362662
262	0.003689	0.002805	30598387
263	0.003702	0.002842	30844106
264	0.003707	0.002801	31077629
265	0.003717	0.002866	31333138
266	0.003751	0.002846	31571230
267	0.003790	0.002858	31810420
268	0.003816	0.002822	32059202
269	0.003823	0.003126	32320371
270	0.003850	0.002875	32568037
271	0.003820	0.002914	32831764
272	0.003851	0.002979	33104712
273	0.003858	0.003002	33388207
274	0.003875	0.002942	33634418
275	0.003890	0.002988	33881149
276	0.003900	0.003000	34150998
277	0.003922	0.002990	34394163
278	0.003937	0.003024	34673688
279	0.003946	0.002972	34925922
280	0.003957	0.002970	35168710
281	0.003973	0.003059	35440854
282	0.003984	0.003046	35710170
283	0.003997	0.003106	35994886
284	0.004011	0.003045	36260035
285	0.004012	0.003052	36511874
286	0.003983	0.003046	36780836
287	0.003968	0.003059	37066632
288	0.003957	0.003048	37322544
289	0.003979	0.003183	37646230
290	0.004053	0.003080	37909929
291	0.004042	0.003072	38200329
292	0.004059	0.003073	38464903
293	0.004078	0.003091	38737941
294	0.004098	0.003100	39004555
295	0.004110	0.003212	39301462
296	0.004131	0.003111	39578162
297	0.004142	0.003095	39835772
298	0.004170	0.003113	40092016
299	0.004183	0.003299	40382103
300	0.004198	0.003203	40662639
301	0.004213	0.003234	40963856
302	0.004226	0.003236	41232626
303	0.004242	0.003384	41574189
304	0.004697	0.003437	41853324
305	0.004303	0.003349	42145190
306	0.004372	0.003315	42428061
307	0.004413	0.003338	42716130
